,time,soc,curr,volt
587,24:29.8,70.5,-29.9,347.8
588,24:37.6,70.5,-7.5,346.8
589,24:46.0,70.5,4.2,346.3
590,24:54.5,70.5,36.6,344.5
591,25:02.0,70.5,67.2,340.9
592,25:09.5,70.5,14.5,344.2
593,25:18.1,70.5,-61.5,349.8
594,25:25.7,70.5,3.1,346.6
595,25:33.7,70.5,3,346.4
596,25:41.5,70.5,2.9,346.4
597,25:49.5,70.5,-62.2,349.2
598,25:57.2,70.5,3.1,346.6
599,26:05.2,70.5,3.1,346.5
600,26:13.0,70.5,3.1,346.5
601,26:20.7,70.5,3.1,346.5
602,26:28.0,70.5,3.1,346.5
603,26:35.5,70.5,3,346.6
604,26:43.0,70.5,2.5,346.6
605,26:50.5,70.5,2.3,346.6
606,26:58.3,70.5,2.8,346.7
607,27:06.0,70.5,2.1,346.7
608,27:13.6,70.5,2.2,346.7
609,27:15.6,70.5,2.2,346.7
610,27:21.1,70.5,33.1,344.7
611,27:28.5,70.5,-60.8,349.5
612,27:36.1,70.5,96.8,341.2
613,27:43.7,70,105.6,339.1
614,27:54.4,70,54.7,341.8
615,28:02.5,70,141.9,336.2
616,28:12.7,70,24.4,343.2
617,28:16.1,70,24.4,343.2
618,28:21.2,70,-47.8,348.9
619,28:28.9,70,2.6,346.4
620,28:36.7,70,2.6,346.3
621,28:44.5,70,2.2,346.2
622,28:52.9,70,52.7,343.1
623,29:00.7,70,92.6,340.1
624,29:08.2,70,3.6,345
625,29:15.8,69.5,7.2,344.4
626,29:24.1,69.5,-25.7,346.5
627,29:31.9,69.5,38.6,343.3
628,29:41.5,69.5,-38.6,347.3
629,29:48.8,69.5,-139.1,352.9
630,29:56.4,69.5,-3.3,346.2
631,30:03.7,69.5,72,342.2
632,30:11.3,69.5,21.5,343.3
633,30:18.7,69.5,-45.1,346.4
634,30:26.2,69.5,0.2,343.9
635,30:33.7,69.5,-47.1,346.9
636,30:41.8,69.5,-8.4,345.8
637,30:51.3,69.5,4,344.8
638,30:58.8,69.5,28.1,343.4
639,31:06.3,69,92.2,338.6
640,31:13.9,69,44.7,340.3
641,31:21.5,69,87,338.6
642,31:29.9,69,-9.2,343.1
643,31:37.3,69,-24.8,341.8
644,31:52.9,69,70.5,339.1
